endpoint_id,image,x_px,y_px,refdes,pin,candidate_net,confidence,review_state,reviewer,note
seed-solder-D39-2,ref/photos/juku-pcb-2/PXL_20260710_200522685.jpg,1087.897,2112.326,D39,2,,registration-only,measurement,,Projection overlaps a trace junction between nearby joints; pin identity and destination are not unique
seed-component-D39-9,ref/photos/juku-pcb-2/PXL_20260710_200445914.jpg,2852.926,768.306,D39,9,,registration-only,measurement,,"Component projection reaches the package edge, but the pin fanout leaves the crop and has no unique destination"
seed-solder-D39-9,ref/photos/juku-pcb-2/PXL_20260710_200522685.jpg,924.779,2328.683,D39,9,,registration-only,measurement,,Solder projection falls between the visible pad columns rather than on an identifiable D39.9 landing
seed-component-D6-13,ref/photos/juku-pcb-2/PXL_20260710_200411500.jpg,1524.427,1377.135,D6,13,,registration-only,measurement,,Projection lies on the IC body rather than the socket contact; D6 posture/landing is not locally registered
seed-solder-D6-13,ref/photos/juku-pcb-2/PXL_20260710_200527310.jpg,1814.437,1173.892,D6,13,,registration-only,measurement,,Projection lies between long parallel rails and cannot identify D6.13 or its destination
seed-component-D6-14,ref/photos/juku-pcb-2/PXL_20260710_200411500.jpg,1472.344,1377.238,D6,14,,registration-only,measurement,,Projection lies on the IC body rather than the socket contact; D6 posture/landing is not locally registered
seed-solder-D6-14,ref/photos/juku-pcb-2/PXL_20260710_200527310.jpg,1869.345,1173.501,D6,14,,registration-only,measurement,,Projection lies between long parallel rails and cannot identify D6.14 or its destination
seed-component-D7-10,ref/photos/juku-pcb-2/PXL_20260710_200415237.jpg,1405.766,1384.162,D7,10,,registration-only,measurement,,Package-side projection is offset from the pin centre and does not show an end-to-end copper path
seed-solder-D7-10,ref/photos/juku-pcb-2/PXL_20260710_200525009.jpg,1982.500,1037.500,D7,10,,registration+unique-hole-snap,measurement,,Nearby-hole snap lies among parallel bus traces; pin identity and destination remain unsafe
seed-component-D7-3,ref/photos/juku-pcb-2/PXL_20260710_200415237.jpg,1299.744,1542.426,D7,3,,registration-only,measurement,,Package-side projection is offset from the pin centre and does not show an end-to-end copper path
seed-solder-D7-3,ref/photos/juku-pcb-2/PXL_20260710_200525009.jpg,2094.259,1221.285,D7,3,,registration-only,measurement,,Solder projection lies on/near a broad rail rather than a uniquely identifiable D7 pad
seed-component-D7-4,ref/photos/juku-pcb-2/PXL_20260710_200415237.jpg,1352.142,1542.429,D7,4,,registration-only,measurement,,Package-side projection is offset from the pin centre and does not show an end-to-end copper path
seed-solder-D7-4,ref/photos/juku-pcb-2/PXL_20260710_200525009.jpg,2040.436,1221.098,D7,4,,registration-only,measurement,,Solder projection lies on/near a broad rail rather than a uniquely identifiable D7 pad
seed-component-D7-5,ref/photos/juku-pcb-2/PXL_20260710_200415237.jpg,1404.555,1542.433,D7,5,,registration-only,measurement,,Package-side projection is offset from the pin centre and does not show an end-to-end copper path
seed-solder-D7-5,ref/photos/juku-pcb-2/PXL_20260710_200525009.jpg,1986.616,1220.911,D7,5,,registration-only,measurement,,Solder projection lies on/near a broad rail rather than a uniquely identifiable D7 pad
seed-component-D7-8,ref/photos/juku-pcb-2/PXL_20260710_200415237.jpg,1510.558,1384.123,D7,8,,registration-only,measurement,,Package-side projection is offset from the pin centre and does not show an end-to-end copper path
seed-solder-D7-8,ref/photos/juku-pcb-2/PXL_20260710_200525009.jpg,1878.829,1059.006,D7,8,,registration-only,measurement,,Solder projection lies between parallel bus traces without a unique D7 pad landing
seed-component-D7-9,ref/photos/juku-pcb-2/PXL_20260710_200415237.jpg,1458.155,1384.142,D7,9,,registration-only,measurement,,Package-side projection is offset from the pin centre and does not show an end-to-end copper path
seed-solder-D7-9,ref/photos/juku-pcb-2/PXL_20260710_200525009.jpg,1932.563,1059.188,D7,9,,registration-only,measurement,,Solder projection lies between parallel bus traces without a unique D7 pad landing
seed-component-D94-1,ref/photos/juku-pcb-2/PXL_20260710_200402344.jpg,1627.700,1559.700,D94,1,FDC_RE_N,local-package-fit,accepted,codex-photo-review,Accepted local net: continuous copper D94.1->D93.4; no photographed branch to global IORD; 2026-07-11 high-resolution solder projection found no obvious additional branch at D93.4 but is not continuity proof
seed-solder-D94-1,ref/photos/juku-pcb-2/PXL_20260710_200506061.jpg,2046.000,1330.000,D94,1,FDC_RE_N,local-package-fit,accepted,codex-photo-review,Accepted matching reflected-fit landing for component-side D94.1->D93.4 trace; extrapolated D93.4 solder-pad review shows no obvious fanout and remains a continuity item
seed-component-D94-15,ref/photos/juku-pcb-2/PXL_20260710_200402344.jpg,1678.586,1403.329,D94,15,,local-package-fit,measurement,codex-photo-review,"Corrected local fit identifies the socket pad; alternate PXL_20260710_200358952.jpg view near (3052,1285) confirms orientation and exposed fanout but no unique onward destination"
seed-solder-D94-15,ref/photos/juku-pcb-2/PXL_20260710_200506061.jpg,1996.286,1178.000,D94,15,,local-package-fit,measurement,codex-photo-review,Reflected local fit identifies the physical pad; 2026-07-11 high-resolution trace chase across the adjacent solder tile still does not yield a unique destination
seed-component-D94-2,ref/photos/juku-pcb-2/PXL_20260710_200402344.jpg,1679.700,1559.329,D94,2,FDC_CS_N,local-package-fit,accepted,codex-photo-review,Accepted local net: continuous copper D94.2->D93.3; no photographed branch to functional CS_FDC boundary
seed-solder-D94-2,ref/photos/juku-pcb-2/PXL_20260710_200506061.jpg,1995.429,1329.714,D94,2,FDC_CS_N,local-package-fit,accepted,codex-photo-review,Accepted matching reflected-fit landing for component-side D94.2->D93.3 trace
seed-component-D94-3,ref/photos/juku-pcb-2/PXL_20260710_200402344.jpg,1731.700,1558.957,D94,3,FDC_WE_N,local-package-fit,accepted,codex-photo-review,Accepted local net: continuous copper D94.3->D93.2; no photographed branch to global IOWR; 2026-07-11 high-resolution solder projection found no obvious additional branch at D93.2 but is not continuity proof
seed-solder-D94-3,ref/photos/juku-pcb-2/PXL_20260710_200506061.jpg,1944.857,1329.429,D94,3,FDC_WE_N,local-package-fit,accepted,codex-photo-review,Accepted matching reflected-fit landing for component-side D94.3->D93.2 trace; extrapolated D93.2 solder-pad review shows no obvious fanout and remains a continuity item
seed-component-D94-4,ref/photos/juku-pcb-2/PXL_20260710_200402344.jpg,1783.700,1558.586,D94,4,,local-package-fit,measurement,codex-photo-review,"Pad identity proved; continuous component trace runs downward to an approximately (1789,2750) px terminal via/layer handoff; exact crop proves this is distinct from D93.19's upper via"
seed-solder-D94-4,ref/photos/juku-pcb-2/PXL_20260710_200506061.jpg,1894.286,1329.143,D94,4,,local-package-fit,measurement,codex-photo-review,"Pad identity proved; projected handoff region near (2021,930) px in PXL_20260710_200522685.jpg is crowded and remains unaccepted"
seed-component-D94-5,ref/photos/juku-pcb-2/PXL_20260710_200402344.jpg,1835.700,1558.214,D94,5,,local-package-fit,measurement,codex-photo-review,Corrected local fit identifies the socket pad; copper either reaches a via/layer handoff or leaves the visible region without an identified destination
seed-solder-D94-5,ref/photos/juku-pcb-2/PXL_20260710_200506061.jpg,1843.714,1328.857,D94,5,,local-package-fit,measurement,codex-photo-review,Reflected local fit identifies the physical pad; the remaining solder copper does not yet yield a unique destination
seed-component-D94-6,ref/photos/juku-pcb-2/PXL_20260710_200402344.jpg,1887.700,1557.843,D94,6,,local-package-fit,measurement,codex-photo-review,Corrected local fit identifies the socket pad; copper either reaches a via/layer handoff or leaves the visible region without an identified destination
seed-solder-D94-6,ref/photos/juku-pcb-2/PXL_20260710_200506061.jpg,1793.143,1328.571,D94,6,,local-package-fit,measurement,codex-photo-review,Reflected local fit identifies the physical pad; the remaining solder copper does not yet yield a unique destination
seed-component-D94-7,ref/photos/juku-pcb-2/PXL_20260710_200402344.jpg,1939.700,1557.471,D94,7,,local-package-fit,measurement,codex-photo-review,"Corrected local fit identifies the socket pad and local departure; a suspected handoff near (1915,1676) px is rejected because package-homography projection lands on bare solder-side substrate near (1767,1444), proving it belongs to an adjacent conductor"
seed-solder-D94-7,ref/photos/juku-pcb-2/PXL_20260710_200506061.jpg,1742.571,1328.286,D94,7,,local-package-fit,measurement,codex-photo-review,Reflected local fit identifies the physical pad; the remaining solder copper does not yet yield a unique destination
seed-component-D94-9,ref/photos/juku-pcb-2/PXL_20260710_200402344.jpg,1990.586,1401.100,D94,9,,local-package-fit,measurement,codex-photo-review,Corrected local fit identifies the socket pad; copper either reaches a via/layer handoff or leaves the visible region without an identified destination
seed-solder-D94-9,ref/photos/juku-pcb-2/PXL_20260710_200506061.jpg,1692.857,1176.286,D94,9,,local-package-fit,measurement,codex-photo-review,Reflected local fit identifies the physical pad; the remaining solder copper does not yet yield a unique destination
seed-component-D28-1,ref/photos/juku-pcb-2/PXL_20260710_200402344.jpg,2848.000,2071.000,D28,1,,local-package-fit,measurement,codex-photo-review,Validated D28 component fit replaces the displaced generated landing and identifies the photographed package contact; local component package fit establishes pad identity only; no electrical path accepted
seed-solder-D28-1,ref/photos/juku-pcb-2/PXL_20260710_200506061.jpg,977.448,1858.787,D28,1,,local-package-fit,measurement,codex-photo-review,"Validated reflected D28 fit identifies the photographed solder joint, distinct from the adjacent open vias; the visible local copper does not reach an identified remote package pad; local solder package fit establishes pad identity only; no electrical path accepted"
seed-component-D28-10,ref/photos/juku-pcb-2/PXL_20260710_200402344.jpg,3006.000,2281.667,D28,10,,local-package-fit,measurement,codex-photo-review,Validated D28 component fit replaces the displaced generated landing and identifies the photographed package contact; local component package fit establishes pad identity only; no electrical path accepted
seed-solder-D28-10,ref/photos/juku-pcb-2/PXL_20260710_200506061.jpg,838.442,2041.512,D28,10,,local-package-fit,measurement,codex-photo-review,"Validated reflected D28 fit identifies the photographed solder joint, distinct from the adjacent open vias; the visible local copper does not reach an identified remote package pad; local solder package fit establishes pad identity only; no electrical path accepted"
seed-component-D28-11,ref/photos/juku-pcb-2/PXL_20260710_200402344.jpg,3006.000,2229.000,D28,11,,local-package-fit,measurement,codex-photo-review,Validated D28 component fit replaces the displaced generated landing and identifies the photographed package contact; local component package fit establishes pad identity only; no electrical path accepted
seed-solder-D28-11,ref/photos/juku-pcb-2/PXL_20260710_200506061.jpg,838.756,1995.595,D28,11,,local-package-fit,measurement,codex-photo-review,"Validated reflected D28 fit identifies the photographed solder joint, distinct from the adjacent open vias; the visible local copper does not reach an identified remote package pad; local solder package fit establishes pad identity only; no electrical path accepted"
seed-component-D28-12,ref/photos/juku-pcb-2/PXL_20260710_200402344.jpg,3006.000,2176.333,D28,12,,local-package-fit,measurement,codex-photo-review,Validated D28 component fit replaces the displaced generated landing and identifies the photographed package contact; local component package fit establishes pad identity only; no electrical path accepted
seed-solder-D28-12,ref/photos/juku-pcb-2/PXL_20260710_200506061.jpg,839.070,1949.679,D28,12,,local-package-fit,measurement,codex-photo-review,"Validated reflected D28 fit identifies the photographed solder joint, distinct from the adjacent open vias; the visible local copper does not reach an identified remote package pad; local solder package fit establishes pad identity only; no electrical path accepted"
seed-component-D28-13,ref/photos/juku-pcb-2/PXL_20260710_200402344.jpg,3006.000,2123.667,D28,13,,local-package-fit,measurement,codex-photo-review,Validated D28 component fit replaces the displaced generated landing and identifies the photographed package contact; local component package fit establishes pad identity only; no electrical path accepted
seed-solder-D28-13,ref/photos/juku-pcb-2/PXL_20260710_200506061.jpg,839.384,1903.762,D28,13,,local-package-fit,measurement,codex-photo-review,"Validated reflected D28 fit identifies the photographed solder joint, distinct from the adjacent open vias; the visible local copper does not reach an identified remote package pad; local solder package fit establishes pad identity only; no electrical path accepted"
seed-component-D28-2,ref/photos/juku-pcb-2/PXL_20260710_200402344.jpg,2848.000,2123.667,D28,2,,local-package-fit,measurement,codex-photo-review,Validated D28 component fit replaces the displaced generated landing and identifies the photographed package contact; local component package fit establishes pad identity only; no electrical path accepted
seed-solder-D28-2,ref/photos/juku-pcb-2/PXL_20260710_200506061.jpg,977.134,1904.704,D28,2,,local-package-fit,measurement,codex-photo-review,"Validated reflected D28 fit identifies the photographed solder joint, distinct from the adjacent open vias; the visible local copper does not reach an identified remote package pad; local solder package fit establishes pad identity only; no electrical path accepted"
seed-component-D28-3,ref/photos/juku-pcb-2/PXL_20260710_200402344.jpg,2848.000,2176.333,D28,3,,local-package-fit,measurement,codex-photo-review,Validated D28 component fit replaces the displaced generated landing and identifies the photographed package contact; local component package fit establishes pad identity only; no electrical path accepted
seed-solder-D28-3,ref/photos/juku-pcb-2/PXL_20260710_200506061.jpg,976.820,1950.621,D28,3,,local-package-fit,measurement,codex-photo-review,"Validated reflected D28 fit identifies the photographed solder joint, distinct from the adjacent open vias; the visible local copper does not reach an identified remote package pad; local solder package fit establishes pad identity only; no electrical path accepted"
seed-component-D28-4,ref/photos/juku-pcb-2/PXL_20260710_200402344.jpg,2848.000,2229.000,D28,4,,local-package-fit,measurement,codex-photo-review,Validated D28 component fit replaces the displaced generated landing and identifies the photographed package contact; local component package fit establishes pad identity only; no electrical path accepted
seed-solder-D28-4,ref/photos/juku-pcb-2/PXL_20260710_200506061.jpg,976.506,1996.537,D28,4,,local-package-fit,measurement,codex-photo-review,"Validated reflected D28 fit identifies the photographed solder joint, distinct from the adjacent open vias; the visible local copper does not reach an identified remote package pad; local solder package fit establishes pad identity only; no electrical path accepted"
seed-component-D28-5,ref/photos/juku-pcb-2/PXL_20260710_200402344.jpg,2848.000,2281.667,D28,5,,local-package-fit,measurement,codex-photo-review,Validated D28 component fit replaces the displaced generated landing and identifies the photographed package contact; local component package fit establishes pad identity only; no electrical path accepted
seed-solder-D28-5,ref/photos/juku-pcb-2/PXL_20260710_200506061.jpg,976.192,2042.454,D28,5,,local-package-fit,measurement,codex-photo-review,"Validated reflected D28 fit identifies the photographed solder joint, distinct from the adjacent open vias; the visible local copper does not reach an identified remote package pad; local solder package fit establishes pad identity only; no electrical path accepted"
seed-component-D28-6,ref/photos/juku-pcb-2/PXL_20260710_200402344.jpg,2848.000,2334.333,D28,6,,local-package-fit,measurement,codex-photo-review,Validated D28 component fit replaces the displaced generated landing and identifies the photographed package contact; local component package fit establishes pad identity only; no electrical path accepted
seed-solder-D28-6,ref/photos/juku-pcb-2/PXL_20260710_200506061.jpg,975.878,2088.371,D28,6,,local-package-fit,measurement,codex-photo-review,"Validated reflected D28 fit identifies the photographed solder joint, distinct from the adjacent open vias; the visible local copper does not reach an identified remote package pad; local solder package fit establishes pad identity only; no electrical path accepted"
seed-component-D28-8,ref/photos/juku-pcb-2/PXL_20260710_200402344.jpg,3006.000,2387.000,D28,8,,local-package-fit,measurement,codex-photo-review,Validated D28 component fit replaces the displaced generated landing and identifies the photographed package contact; local component package fit establishes pad identity only; no electrical path accepted
seed-solder-D28-8,ref/photos/juku-pcb-2/PXL_20260710_200506061.jpg,837.814,2133.346,D28,8,,local-package-fit,measurement,codex-photo-review,"Validated reflected D28 fit identifies the photographed solder joint, distinct from the adjacent open vias; the visible local copper does not reach an identified remote package pad; local solder package fit establishes pad identity only; no electrical path accepted"
seed-component-D28-9,ref/photos/juku-pcb-2/PXL_20260710_200402344.jpg,3006.000,2334.333,D28,9,,local-package-fit,measurement,codex-photo-review,Validated D28 component fit replaces the displaced generated landing and identifies the photographed package contact; local component package fit establishes pad identity only; no electrical path accepted
seed-solder-D28-9,ref/photos/juku-pcb-2/PXL_20260710_200506061.jpg,838.128,2087.429,D28,9,,local-package-fit,measurement,codex-photo-review,"Validated reflected D28 fit identifies the photographed solder joint, distinct from the adjacent open vias; the visible local copper does not reach an identified remote package pad; local solder package fit establishes pad identity only; no electrical path accepted"
seed-component-D95-1,ref/photos/juku-pcb-2/PXL_20260710_200418174.jpg,2690.602,1049.965,D95,1,,local-package-fit,measurement,codex-photo-review,Validated D95 component fit corrects the reversed/offset projection and identifies the photographed К555КП12 package contact; local component package fit establishes pad identity only; no electrical path accepted
seed-solder-D95-1,ref/photos/juku-pcb-2/PXL_20260710_200522685.jpg,1513.571,903.286,D95,1,,local-package-fit,measurement,codex-photo-review,Corrected backside-order D95 fit identifies the physical joint in the right-hand package; the former left-group D95 assignment is withdrawn because that package is D99; local solder package fit establishes pad identity only; no electrical path accepted
seed-component-D95-10,ref/photos/juku-pcb-2/PXL_20260710_200418174.jpg,2358.844,1220.577,D95,10,,local-package-fit,measurement,codex-photo-review,Validated D95 component fit corrects the reversed/offset projection and identifies the photographed К555КП12 package contact; local component package fit establishes pad identity only; no electrical path accepted
seed-solder-D95-10,ref/photos/juku-pcb-2/PXL_20260710_200522685.jpg,1840.571,740.857,D95,10,,local-package-fit,measurement,codex-photo-review,Corrected backside-order D95 fit identifies the physical joint in the right-hand package; the former left-group D95 assignment is withdrawn because that package is D99; local solder package fit establishes pad identity only; no electrical path accepted
seed-component-D95-11,ref/photos/juku-pcb-2/PXL_20260710_200418174.jpg,2414.452,1219.946,D95,11,,local-package-fit,measurement,codex-photo-review,Validated D95 component fit corrects the reversed/offset projection and identifies the photographed К555КП12 package contact; local component package fit establishes pad identity only; no electrical path accepted
seed-solder-D95-11,ref/photos/juku-pcb-2/PXL_20260710_200522685.jpg,1786.143,740.714,D95,11,,local-package-fit,measurement,codex-photo-review,Corrected backside-order D95 fit identifies the physical joint in the right-hand package; the former left-group D95 assignment is withdrawn because that package is D99; local solder package fit establishes pad identity only; no electrical path accepted
seed-component-D95-12,ref/photos/juku-pcb-2/PXL_20260710_200418174.jpg,2470.061,1219.315,D95,12,,local-package-fit,measurement,codex-photo-review,Validated D95 component fit corrects the reversed/offset projection and identifies the photographed К555КП12 package contact; local component package fit establishes pad identity only; no electrical path accepted
seed-solder-D95-12,ref/photos/juku-pcb-2/PXL_20260710_200522685.jpg,1731.714,740.571,D95,12,,local-package-fit,measurement,codex-photo-review,Corrected backside-order D95 fit identifies the physical joint in the right-hand package; the former left-group D95 assignment is withdrawn because that package is D99; local solder package fit establishes pad identity only; no electrical path accepted
seed-component-D95-13,ref/photos/juku-pcb-2/PXL_20260710_200418174.jpg,2525.669,1218.684,D95,13,,local-package-fit,measurement,codex-photo-review,Validated D95 component fit corrects the reversed/offset projection and identifies the photographed К555КП12 package contact; local component package fit establishes pad identity only; no electrical path accepted
seed-solder-D95-13,ref/photos/juku-pcb-2/PXL_20260710_200522685.jpg,1677.286,740.429,D95,13,,local-package-fit,measurement,codex-photo-review,Corrected backside-order D95 fit identifies the physical joint in the right-hand package; the former left-group D95 assignment is withdrawn because that package is D99; local solder package fit establishes pad identity only; no electrical path accepted
